entry,publisher,citation,title,doi,url
20603,De Gruyter,ZN/A vol 31 p 115 (1976),-PRECISION MEASUREMENTS OF FREE CROSS SECTIONS FOR NEUTRONS-. GERMAN,10.1515/zna-1976-0202,https://www.degruyter.com/document/doi/10.1515/zna-1976-0202/pdf
20817,Taylor & Francis,NST vol 16 p 701 (1979),Slow neutron resonances in Terbium-159,10.1080/18811248.1979.9730969,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1979.9730969?needAccess=true
21168,DOI resolver — redirects to a publisher platform,Nuovo Cimento vol 8 p 383 (1951),"-ELASTIC SCATTERING AND (N,P) RESONANCES OF P-31 AND S-",10.1007/BF02807888,https://doi.org/10.1007/bf02807888
21353,De Gruyter,ZN/A vol 26 p 442 (1971),"-PRECISE MEASUREMENT OF THE TOTAL CROSS SECTION OF BISMUTH, LEAD, SILICON AND CARBON FOR 130 EV NEUTRONS.- (IN GERMAN)",10.1515/zna-1971-0314,https://www.degruyter.com/document/doi/10.1515/zna-1971-0314/pdf
21360,De Gruyter,ZN/A vol 21 p 829 (1966),The activation cross section of silicon-30 for thermal neutrons,10.1515/zna-1966-0623,https://www.degruyter.com/document/doi/10.1515/zna-1966-0623/pdf
21748,Taylor & Francis,NST vol 18 p 823 (1981),Measurement of the neutron capture cross section of Th-232 from 1 keV to 408 keV,10.1080/18811248.1981.9733327,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1981.9733327?needAccess=true
21829,Taylor & Francis,NST vol 19 p 775 (1982),"-Cross section measurement for Hg-199(n,n')Hg-199-m reaction from 0.78 to 6.3 MeV",10.1080/18811248.1982.9734217,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1982.9734217?needAccess=true
21922,De Gruyter,ZN/A vol 37 p 1132 (1982),-SCATTERING OF SLOW NEUTRONS BY LANTHANUM AND CERIUM. (STREUUNG LANGSAMER NEUTRONEN AN LANTHAN UND CER ),10.1515/zna-1982-1005,https://www.degruyter.com/document/doi/10.1515/zna-1982-1005/pdf
21986,Taylor & Francis,NST vol 22 p 771 (1985),"Double-differential neutron emission cross sections of 6Li and 7Li at incident neutron energies of 4.2, 5.4, 6.0 and 14.2 MeV",10.1080/18811248.1985.9735728,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1985.9735728?needAccess=true
22045,De Gruyter,ZN/A vol 42 p 909 (1987),-INTERACTION OF NEUTRONS WITH TUNGSTEN AND ITS ISOTOPES. (IN GERMAN),10.1515/zna-1987-0901,https://www.degruyter.com/document/doi/10.1515/zna-1987-0901/pdf
22138,De Gruyter,ZN/A vol 44 p 173 (1989),-STREUUNG LANGSAMER NEUTRONEN AN THORIUM,10.1515/zna-1989-0302,https://www.degruyter.com/document/doi/10.1515/zna-1989-0302/pdf
22295,Taylor & Francis,NST vol 32 p 395 (1995),"-Measurement of thermal neutron cross section and resonance integral of the reaction 99-Tc(n,g)100-Tc",10.1080/18811248.1995.9731724,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1995.9731724?needAccess=true
22342,Taylor & Francis,NST vol 34 p 431 (1997),"Measurement of thermal neutron cross section and resonance integral of the reaction 135-Cs(n,g)136-Cs",10.1080/18811248.1997.9733688,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1997.9733688?needAccess=true
22366,Taylor & Francis,NST vol 31 p 1239 (1994),"Measurements of thermal neutron cross section and resonance integral for the 237-Np(n,g)238-Np reaction",10.1080/18811248.1994.9735286,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1994.9735286?needAccess=true
22451,De Gruyter,ZN/A vol 52 p 270 (1997),Interaction of Slow Neutrons with Cobalt and Tin,10.1515/zna-1997-0306,https://www.degruyter.com/document/doi/10.1515/zna-1997-0306/pdf
22679,Taylor & Francis,NST vol 38 p 1029 (2001),"Measurement of the thermal neutron capture cross section and the resonance integral of the 90Sr(n,gamma)91Sr reaction",10.1080/18811248.2001.9715132,https://www.tandfonline.com/doi/pdf/10.1080/18811248.2001.9715132?needAccess=true
22727,Taylor & Francis,NST vol 34 p 613 (1997),.Radiochemical determination of Neutron capture cross section of 241-Am,10.1080/18811248.1997.9733719,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1997.9733719?needAccess=true
22737,Taylor & Francis,NST vol 30 p 1099 (1993),"Measurement of thermal neutron cross section and resonance integral of the reaction 137-Cs(n,gamma)138-Cs",10.1080/18811248.1993.9734595,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1993.9734595?needAccess=true
22764,Taylor & Francis,NST vol 21 p 254 (1984),Neutron resonance parameters of Rubidium-85 and Rubidium-87,10.1080/18811248.1984.9731043,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1984.9731043?needAccess=true
22772,American Physical Society,Physical Review C vol 71 p 055803 (2005),".7Li(n,gamma)8Li reaction and the S17 factor at Ec.m. > 500 keV",10.1103/PhysRevC.71.055803,http://link.aps.org/pdf/10.1103/PhysRevC.71.055803
22796,American Physical Society,Physical Review C vol 82 p 015802 (2010),"Neutron physics of the Re/Os clock. I. Measurement of (n,g) cross sections of 186,187,188Os at the CERN nTOF facility",10.1103/PhysRevC.82.015802,http://link.aps.org/pdf/10.1103/PhysRevC.82.015802
22858,Taylor & Francis,NST vol 39 p 111 (2002),.Measurement of Neutron Capture Cross Section of Np-237 by linac time-of flight method and with linac-driven lead slowing-down spectrometer,10.1080/18811248.2002.9715164,https://www.tandfonline.com/doi/pdf/10.1080/18811248.2002.9715164?needAccess=true
22872,Taylor & Francis,NST vol 42 p 135 (2005),.Measurement of Neutron Capture Cross Section of Np-237 from 0.02 to 100 eV,10.1080/18811248.2005.9726373,https://www.tandfonline.com/doi/pdf/10.1080/18811248.2005.9726373?needAccess=true
